id,name,lat,lng,contact
1,Bangalore City Police Station,12.9716,77.5960,+91-80-22220000
2,MG Road Police Station,12.9758,77.6065,+91-80-22212121
3,Koramangala Police Station,12.9352,77.6245,+91-80-22943225
4,Indiranagar Police Station,12.9784,77.6408,+91-80-25200917
5,Jayanagar Police Station,12.9300,77.5832,+91-80-26534343
6,Whitefield Police Station,12.9698,77.7500,+91-80-28452020
7,Hebbal Police Station,13.0389,77.5975,+91-80-23611216
8,Yeshwanthpur Police Station,13.0272,77.5451,+91-80-23345678
9,Banaswadi Police Station,13.0124,77.6346,+91-80-25212345
10,HBR Layout Police Station,13.0221,77.6417,+91-80-25567890
11,HSR Layout Police Station,12.9168,77.6365,+91-80-25789012
12,Electronic City Police Station,12.8390,77.6696,+91-80-28567890
13,Marathahalli Police Station,12.9538,77.6978,+91-80-25432109
14,Hennur Police Station,13.0277,77.6202,+91-80-25500123
15,Bannerghatta Police Station,12.8769,77.5965,+91-80-26912345
16,BTM Layout Police Station,12.9167,77.6101,+91-80-26789012
17,Yelahanka Police Station,13.0837,77.5880,+91-80-23678901
18,Kengeri Police Station,12.8801,77.5206,+91-80-26987654
19,Kudlu Gate Police Station,12.9004,77.6583,+91-80-27876543
20,Rajajinagar Police Station,13.0005,77.5531,+91-80-23343678
21,Malleshwaram Police Station,13.0113,77.5707,+91-80-23354789
22,Bommanahalli Police Station,12.9018,77.5772,+91-80-26567890
23,Tavarekere Police Station,12.9015,77.6098,+91-80-26541234
24,Yeshwantpur Police Station,13.0311,77.5522,+91-80-23347890
25,Govindarajanagar Police Station,13.0058,77.5561,+91-80-23345566
